season,week,celebrity_name,judge_score,fan_vote,fan_vote_scaled,comprehensive_score,rank,judge_weight,fan_weight,fan_vote_cv,total_uncertainty,placement,is_eliminated,elimination_probability
1,1,Evander Holyfield,18.0,0.1666666666666666,4.999999999999998,,6,,,1.6653345369377348e-16,0.1763834207376395,5,0,0.30506998110490574
1,1,Joey McIntyre,20.0,0.1666666666666666,4.999999999999998,,5,,,1.6653345369377348e-16,0.0540367500046986,3,0,0.4719894331478316
1,1,John O'Hurley,20.0,0.1666666666666666,4.999999999999998,,4,,,1.6653345369377348e-16,0.1266414226884197,2,0,0.41017192103401584
1,1,Kelly Monaco,13.0,0.1666666666666666,4.999999999999998,,3,,,1.6653345369377348e-16,0.240466727655378,1,0,0.3200769325500983
1,1,Rachel Hunter,20.0,0.1666666666666666,4.999999999999998,,2,,,1.6653345369377348e-16,0.1107349743021721,4,0,0.46635365362944514
1,1,Trista Sutter,18.0,0.1666666666666666,4.999999999999998,,1,,,1.6653345369377348e-16,0.0382219881722459,6,0,0.48096944052589163
1,2,Evander Holyfield,14.0,0.3206542158433585,9.619626475300755,0.9186825520926676,2,0.4506870972834764,0.5493129027165237,0.0,0.1763834207376393,5,0,0.05549647637988565
1,2,Joey McIntyre,21.0,0.1520005987636447,4.560017962909341,0.6932815227864629,5,0.4506870972834764,0.5493129027165237,1.8260175184433195e-16,0.0540367500046986,3,0,0.025231622961824695
1,2,John O'Hurley,26.0,0.1265687790761492,3.797063372284476,0.999999999999222,1,0.4506870972834764,0.5493129027165237,2.1929243387052e-16,0.1266414226884198,2,0,0.006846594494557113
1,2,Kelly Monaco,17.0,0.2270778501245368,6.812335503736104,0.7172717009018688,4,0.4506870972834764,0.5493129027165237,1.2222933941116167e-16,0.2404667276553779,1,0,0.012969782757589693
1,2,Rachel Hunter,24.0,0.1274632543704939,3.8238976311148174,0.8316492774747891,3,0.4506870972834764,0.5493129027165237,2.177535459353057e-16,0.1107349743021721,4,0,0.0
1,2,Trista Sutter,19.0,0.0462353018218166,1.387059054654498,0.0,6,0.4506870972834764,0.5493129027165237,0.0,0.0382219881722458,6,1,0.9694158930687677
1,3,Evander Holyfield,13.0,0.1000443542507988,3.001330627523964,0.0,5,0.444193980934245,0.555806019065755,1.387163514797103e-16,0.1763834207376395,5,1,0.7385645534279717
1,3,Joey McIntyre,22.0,0.2170490650235737,6.511471950707211,0.7733880390298961,4,0.444193980934245,0.555806019065755,0.0,0.0540367500046984,3,0,0.02446504178498968
1,3,John O'Hurley,24.0,0.1967795798668546,5.9033873960056376,0.7794437821328948,3,0.444193980934245,0.555806019065755,1.4104906431047842e-16,0.1266414226884197,2,0,0.0
1,3,Kelly Monaco,21.0,0.2912672064691589,8.738016194074767,0.9999999999996062,1,0.444193980934245,0.555806019065755,1.9058496802363394e-16,0.240466727655378,1,0,0.05218782443827697
1,3,Rachel Hunter,26.0,0.1948597943896138,5.845793831688414,0.8512548071918415,2,0.444193980934245,0.555806019065755,1.4243869907885064e-16,0.110734974302172,4,0,0.006019985127779355
1,4,Joey McIntyre,20.0,0.4550542339234112,13.651627017702337,0.9999999999996686,1,-0.0815394528420353,1.0815394528420352,1.2198798976695324e-16,0.0540367500046985,3,0,0.2405487877586884
1,4,John O'Hurley,21.0,0.2760043447065936,8.280130341197808,0.5097591052187085,2,-0.0815394528420353,1.0815394528420352,2.0112419349872536e-16,0.1266414226884198,2,0,0.29098949012551845
1,4,Kelly Monaco,26.0,0.1674050972784433,5.022152918353299,0.165853563152974,3,-0.0815394528420353,1.0815394528420352,3.3159773587375675e-16,0.2404667276553782,1,0,0.2146711826471598
1,4,Rachel Hunter,25.0,0.1015363240915518,3.046089722746554,0.0,4,-0.0815394528420353,1.0815394528420352,1.3667806011276642e-16,0.110734974302172,4,1,0.7566306336933402
1,5,Joey McIntyre,22.5,0.2302372163481905,6.9071164904457145,0.0,3,0.5336367754772526,0.4663632245227473,2.411041625316892e-16,0.0540367500046987,3,1,0.7846956939080129
1,5,John O'Hurley,27.0,0.3213219198527688,9.639657595583063,0.9999999999994184,1,0.5336367754772526,0.4663632245227473,3.455173631272543e-16,0.1266414226884199,2,0,0.14857808007812875
1,5,Kelly Monaco,23.5,0.4484408637990407,13.45322591397122,0.8222686215591595,2,0.5336367754772526,0.4663632245227473,0.0,0.2404667276553778,1,0,0.20689204782269222
1,6,John O'Hurley,27.0,0.5,15.0,,2,,,0.0,0.1266414226884196,2,0,0.8318128588140493
1,6,Kelly Monaco,27.5,0.5,15.0,,1,,,0.0,0.2404667276553778,1,0,0.7263649726200321
2,1,Drew Lachey,24.0,0.0907066569678085,2.721199709034255,,10,,,0.0605724635498456,0.1650354374303176,1,0,0.03875392178437465
2,1,George Hamilton,18.0,0.1422252984786978,4.266758954360935,,9,,,0.0577547947229836,0.1530897693988585,5,0,0.061530536205927945
2,1,Giselle Fernandez,23.0,0.0879759132807856,2.639277398423568,,8,,,0.0718542654350686,0.1153325263046338,8,0,0.04648086344670057
2,1,Jerry Rice,21.0,0.0951700873943448,2.855102621830344,,7,,,0.0628863313280112,0.1675032197966304,2,0,0.03740189961509623
2,1,Kenny Mayne,13.0,0.0163585165856269,0.490755497568807,,6,,,0.0207189426967494,,10,1,0.9376092984510008
2,1,Lisa Rinna,19.0,0.1075479104340781,3.226437313022343,,5,,,0.0520422315087795,0.1858149550859645,4,0,0.0813562685792723
2,1,Master P,12.0,0.1838210311747316,5.514630935241947,,4,,,0.0470280510864277,0.320280071512017,7,0,0.09255571046775415
2,1,Stacy Keibler,22.0,0.09372658199428,2.8117974598284,,3,,,0.0878327757350754,0.1838290258741599,3,0,0.049816411604539985
2,1,Tatum O'Neal,23.0,0.0863582302151942,2.590746906455826,,2,,,0.0741450006494093,0.2862770350053735,9,0,0.0553934736327173
2,1,Tia Carrere,20.0,0.096109773474452,2.88329320423356,,1,,,0.0644834427460908,0.170982996780142,6,0,0.04607415398994075
2,2,Drew Lachey,27.0,0.0976022737948432,2.928068213845296,0.8573221574029866,4,0.3700863994176958,0.6299136005823043,0.0634784008475991,0.1679413747280711,1,0,0.0
2,2,George Hamilton,22.0,0.1256102545551601,3.7683076366548023,0.8205418625556677,5,0.3700863994176958,0.6299136005823043,0.0521833720166587,0.1475183466925335,5,0,0.0
2,2,Giselle Fernandez,24.0,0.1084103561928078,3.252310685784234,0.7997176807251944,6,0.3700863994176958,0.6299136005823043,0.0760811392162516,0.1195594000858168,8,0,0.005556769848771267
2,2,Jerry Rice,23.0,0.0833765040497796,2.501295121493388,0.6108168764215737,8,0.3700863994176958,0.6299136005823043,0.0755182249527031,0.1801351134213223,2,0,0.0005567698487712665
2,2,Lisa Rinna,20.0,0.1629523566924952,4.888570700774856,0.9607281382447064,3,0.3700863994176958,0.6299136005823043,0.0525491796188256,0.1863219031960106,4,0,0.0
2,2,Master P,16.0,0.1969511216983626,5.9085336509508775,0.9999999999995624,1,0.3700863994176958,0.6299136005823043,0.0335628945069767,0.3068149149325659,7,0,0.015527762683191799
2,2,Stacy Keibler,29.0,0.1052399789317243,3.1571993679517294,0.983684866997946,2,0.3700863994176958,0.6299136005823043,0.0557591148723275,0.151755365011412,3,0,0.0
2,2,Tatum O'Neal,17.0,0.021359452837285,0.6407835851185499,0.0,9,0.3700863994176958,0.6299136005823043,0.0215828566608372,0.2337148910168014,9,1,0.9598133511673151
2,2,Tia Carrere,22.0,0.0984977012475418,2.954931037426254,0.6598736869775434,7,0.3700863994176958,0.6299136005823043,0.0718083437107477,0.1783078977447989,6,0,0.0
2,3,Drew Lachey,27.0,0.0813658899726727,2.440976699180181,0.8643971748768292,4,0.4571805064612139,0.542819493538786,0.0930459627379591,0.1975089366184311,1,0,0.001603982300884956
2,3,George Hamilton,22.0,0.1363075309448444,4.089225928345332,0.7794658269619299,7,0.4571805064612139,0.542819493538786,0.0704562021608572,0.165791176836732,5,0,0.0036231419784725784
2,3,Giselle Fernandez,22.0,0.0238764427364725,0.716293282094175,0.0,8,0.4571805064612139,0.542819493538786,0.0174082597308743,0.0608865206004395,8,1,0.9540738736800682
2,3,Jerry Rice,19.0,0.2047579364221662,6.1427380926649855,0.9745214736720176,2,0.4571805064612139,0.542819493538786,0.0526594614421885,0.1572763499108077,2,0,0.005622315278928017
2,3,Lisa Rinna,25.0,0.1020048103909974,3.060144311729922,0.8211503371947484,6,0.4571805064612139,0.542819493538786,0.0587129144675026,0.1924856380446876,4,0,0.0036231419784725784
2,3,Master P,14.0,0.2519612465155953,7.55883739546786,0.8359415791333832,5,0.4571805064612139,0.542819493538786,0.028851987302819,0.3021040077284083,7,0,0.0749326085078663
2,3,Stacy Keibler,27.0,0.1009254045341433,3.027762136024299,0.9999999999991368,1,0.4571805064612139,0.542819493538786,0.0728717371499024,0.1688679872889869,3,0,0.005622315278928017
2,3,Tia Carrere,26.0,0.098800738483108,2.96402215449324,0.8921035465304608,3,0.4571805064612139,0.542819493538786,0.0647642467116646,0.1712638007457158,6,0,0.001603982300884956
2,4,Drew Lachey,28.0,0.1375792028538395,4.127376085615185,0.7725980589521398,3,0.3732196092973976,0.6267803907026023,0.0,0.104462973880472,1,0,0.003134633834346018
2,4,George Hamilton,21.0,0.2209353500128402,6.628060500385206,0.9999999999996724,1,0.3732196092973976,0.6267803907026023,0.0,0.0953349746758748,5,0,0.017239490627959073
2,4,Jerry Rice,24.0,0.1689001519704179,5.067004559112537,0.8313486901128541,2,0.3732196092973976,0.6267803907026023,0.0,0.1046168884686192,2,0,0.004742536061724254
2,4,Lisa Rinna,26.0,0.1376154317418076,4.128462952254228,0.7337781103610632,6,0.3732196092973976,0.6267803907026023,4.033788255332231e-16,0.1337727235771854,4,0,0.026969027551496234
2,4,Master P,8.0,0.0498717729122669,1.4961531873680072,0.0,7,0.3732196092973976,0.6267803907026023,0.0,0.2732520204255892,7,1,0.9349015411393831
2,4,Stacy Keibler,26.0,0.1388529068255592,4.165587204766776,0.7391793272916385,5,0.3732196092973976,0.6267803907026023,3.997838612121847e-16,0.0959962501390849,3,0,0.016447704164922205
2,4,Tia Carrere,25.0,0.1462451836832683,4.3873555104980495,0.7519554158920699,4,0.3732196092973976,0.6267803907026023,1.897879637235834e-16,0.1064995540340514,6,0,0.004016532282391571
2,5,Drew Lachey,27.0,0.1617538300183525,4.852614900550575,0.7639140464803044,3,0.3533613231483146,0.6466386768516854,1.7159145852979032e-16,0.1044629738804722,1,0,0.008678379688322059
2,5,George Hamilton,24.0,0.189542295922193,5.68626887766579,0.738619274322341,4,0.3533613231483146,0.6466386768516854,1.4643473363339742e-16,0.095334974675875,5,0,0.012036633055627901
2,5,Jerry Rice,23.0,0.2504746810328636,7.514240430985907,0.9999999999995705,1,0.3533613231483146,0.6466386768516854,0.0,0.1046168884686192,2,0,0.09298730465572345
2,5,Lisa Rinna,25.0,0.1669066204000536,5.007198612001608,0.677219413509511,5,0.3533613231483146,0.6466386768516854,1.6629403644446444e-16,0.1337727235771852,4,0,0.017183992590570147
2,5,Stacy Keibler,30.0,0.1614722742496109,4.844168227488327,0.9328466334183588,2,0.3533613231483146,0.6466386768516854,0.0,0.0959962501390845,3,0,0.011464197903663906
2,5,Tia Carrere,22.0,0.0698502983769261,2.095508951307784,0.0,6,0.3533613231483146,0.6466386768516854,1.986790053913176e-16,0.1064995540340514,6,1,0.91596816138918
2,6,Drew Lachey,30.0,0.1816452602689502,5.449357808068506,0.8364985892023683,3,0.3711153493842949,0.6288846506157051,1.5280099009758395e-16,0.1044629738804722,1,0,0.006776260616677256
2,6,George Hamilton,23.0,0.0804182267092028,2.412546801276084,0.0,5,0.3711153493842949,0.6288846506157051,0.0,0.0953349746758748,5,1,0.9189002309162931
2,6,Jerry Rice,23.0,0.3285366036202672,9.856098108608016,0.9999999999994824,1,0.3711153493842949,0.6288846506157051,0.0,0.1046168884686192,2,0,0.1755759608377362
2,6,Lisa Rinna,27.0,0.2310874953164312,6.932624859492936,0.8521159786719202,2,0.3711153493842949,0.6288846506157051,1.2010851378012831e-16,0.1337727235771851,4,0,0.018473848907423564
2,6,Stacy Keibler,30.0,0.1783124140851483,5.349372422554449,0.8230661049773292,4,0.3711153493842949,0.6288846506157051,0.0,0.0959962501390845,3,0,0.006674926842934275
2,7,Drew Lachey,27.5,0.2659656227872346,7.978968683617039,0.9999999999989652,1,0.4453450861698327,0.5546549138301673,0.0,0.104462973880472,1,0,0.1247739778822263
2,7,Jerry Rice,20.5,0.3967740847975384,11.903222543926152,0.6456033004804923,3,0.4453450861698327,0.5546549138301673,0.0,0.1046168884686192,2,0,0.18334729686612788
2,7,Lisa Rinna,26.5,0.1195060577777798,3.585181733333394,0.0,4,0.4453450861698327,0.5546549138301673,0.0,0.133772723577185,4,1,0.7328338390170286
2,7,Stacy Keibler,27.5,0.217754234637447,6.53262703912341,0.7228488617316682,2,0.4453450861698327,0.5546549138301673,1.274628512361238e-16,0.0959962501390846,3,0,0.0
