season,week,celebrity_name,judge_score,fan_vote,fan_vote_scaled,comprehensive_score,rank,judge_weight,fan_weight,fan_vote_cv,total_uncertainty,placement,is_eliminated,judge_rank,fan_rank,judge_score_norm,fan_score_norm,rank_based_comprehensive_score,original_comprehensive_score,elimination_probability
27,1,Alexis Ren,22.0,0.0877899099261178,2.633697297783534,,13,,,0.0391687835785281,0.1281686055790621,4,0,3.5,1.0,0.7916666666666666,1.0,0.8958333333333333,,0.1268242922170909
27,1,Bobby Bones,20.0,0.0803615688479183,2.410847065437549,,12,,,0.0408942227904248,0.1636101646403097,1,0,6.0,9.0,0.5833333333333333,0.33333333333333337,0.4583333333333333,,0.18187441811643876
27,1,Danelle Umstead,18.0,0.080219144452017,2.40657433356051,,11,,,0.0456155489661815,0.0649883374918403,12,0,10.0,10.0,0.25,0.25,0.25,,0.1832664520450746
27,1,DeMarcus Ware,23.0,0.0792322186085696,2.376966558257088,,10,,,0.0498672874885451,0.1236091997554414,7,0,1.5,12.0,0.9583333333333334,0.08333333333333337,0.5208333333333334,,0.24920691957618907
27,1,Evanna Lynch,18.0,0.087046950032937,2.61140850098811,,9,,,0.0346601856392359,0.1852859234556531,3,0,10.0,3.0,0.25,0.8333333333333334,0.5416666666666667,,0.046034559109046726
27,1,Joe Amabile,14.0,0.0871844629678201,2.615533889034604,,8,,,0.0432970342245037,0.2376947610385696,6,0,13.0,2.0,0.0,0.9166666666666666,0.4583333333333333,,0.06669933375366627
27,1,John Schneider,18.0,0.0828268403442576,2.484805210327728,,7,,,0.0297688525067143,0.1701137460399714,8,0,10.0,4.0,0.25,0.75,0.5,,0.101333835819014
27,1,Juan Pablo Di Pace,22.0,0.0827255256366452,2.481765769099356,,6,,,0.0452637316587985,0.1573254212686741,5,0,3.5,5.0,0.7916666666666666,0.6666666666666667,0.7291666666666667,,0.1362249559203403
27,1,Mary Lou Retton,20.0,0.0809645285432362,2.428935856297086,,5,,,0.0417749839869802,0.1290534819296825,9,0,6.0,7.0,0.5833333333333333,0.5,0.5416666666666666,,0.1789918237275797
27,1,Milo Manheim,20.0,0.0794485498453596,2.383456495360788,,4,,,0.0518306361466459,0.1644930938732392,2,0,6.0,11.0,0.5833333333333333,0.16666666666666663,0.37499999999999994,,0.14409783383156335
27,1,Nancy McKeon,19.5,0.0818071828802402,2.454215486407206,,3,,,0.0457092876941895,0.1065950492689535,11,0,8.0,6.0,0.41666666666666663,0.5833333333333333,0.49999999999999994,,0.12695184237707402
27,1,Nikki Glaser,17.5,0.0100144417560148,0.300433252680444,,2,,,0.0443774885296827,,13,1,12.0,13.0,0.08333333333333337,0.0,0.041666666666666685,,0.7014916068301419
27,1,Tinashe,23.0,0.0803786761588659,2.411360284765977,,1,,,0.0600612664522546,0.127984827533387,10,0,1.5,8.0,0.9583333333333334,0.41666666666666663,0.6875,,0.21869448992219476
27,2,Alexis Ren,24.5,0.0888528150926577,2.665584452779731,0.931156228050987,5,0.3229049201245846,0.6770950798754153,0.0291980770665108,0.1181978990670448,4,0,4.0,6.0,0.7272727272727273,0.5454545454545454,0.6363636363636364,0.931156228050987,0.1345606596810369
27,2,Bobby Bones,19.5,0.0947930494951239,2.843791484853717,0.815531252495521,9,0.3229049201245846,0.6770950798754153,0.034409155353046,0.1571250972029309,1,0,10.0,3.0,0.18181818181818177,0.8181818181818181,0.49999999999999994,0.815531252495521,0.06180753448437338
27,2,Danelle Umstead,18.5,0.0117164269940926,0.351492809822778,0.0,12,0.3229049201245846,0.6770950798754153,0.037110763961846,0.0564835524875048,12,1,11.0,12.0,0.09090909090909094,0.0,0.04545454545454547,0.0,0.6960415058229398
27,2,DeMarcus Ware,23.5,0.0847503904532619,2.542511713597857,0.8582808124179407,6,0.3229049201245846,0.6770950798754153,0.0465406348769359,0.1202825471438322,7,0,6.0,10.0,0.5454545454545454,0.18181818181818177,0.3636363636363636,0.8582808124179407,0.1333033659151215
27,2,Evanna Lynch,24.0,0.0966574750035649,2.899724250106947,0.9874009562403808,3,0.3229049201245846,0.6770950798754153,0.0353255972081027,0.18595133502452,3,0,5.0,1.0,0.6363636363636364,1.0,0.8181818181818181,0.9874009562403808,0.07823171070519785
27,2,Joe Amabile,17.5,0.0963856020148032,2.891568060444096,0.7619130142627786,11,0.3229049201245846,0.6770950798754153,0.0305835530813203,0.2249812798953862,6,0,12.0,2.0,0.0,0.9090909090909091,0.45454545454545453,0.7619130142627786,0.06604210543386527
27,2,John Schneider,21.5,0.0878363487865458,2.6350904635963737,0.8187062311555542,8,0.3229049201245846,0.6770950798754153,0.0390549965265673,0.1793998900598244,8,0,8.0,8.0,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.8187062311555542,0.07666540434557821
27,2,Juan Pablo Di Pace,26.0,0.0879618895697785,2.638856687093355,0.9742238487029766,4,0.3229049201245846,0.6770950798754153,0.0282719875515672,0.1403336771614428,5,0,2.0,7.0,0.9090909090909091,0.4545454545454546,0.6818181818181819,0.9742238487029766,0.17119624730849783
27,2,Mary Lou Retton,23.0,0.0825934642152138,2.477803926456414,0.8208489943650854,7,0.3229049201245846,0.6770950798754153,0.0347999444991799,0.1220784424418822,9,0,7.0,11.0,0.4545454545454546,0.09090909090909094,0.27272727272727276,0.8208489943650854,0.1771188210097843
27,2,Milo Manheim,26.0,0.0907029316131812,2.721087948395436,0.9999999999996946,1,0.3229049201245846,0.6770950798754153,0.0408768436033592,0.1535393013299525,2,0,2.0,4.0,0.9090909090909091,0.7272727272727273,0.8181818181818181,0.9999999999996946,0.1255989067432056
27,2,Nancy McKeon,20.5,0.0872959742617331,2.618879227851993,0.7793275445861769,10,0.3229049201245846,0.6770950798754153,0.0380651082857945,0.0989508698605585,11,0,9.0,9.0,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.7793275445861769,0.10029815212078992
27,2,Tinashe,26.0,0.0904536325000428,2.713608975001284,0.9976556464448632,2,0.3229049201245846,0.6770950798754153,0.0456125529026279,0.1135361139837603,10,0,2.0,5.0,0.9090909090909091,0.6363636363636364,0.7727272727272727,0.9976556464448632,0.06976651570858095
27,3,Alexis Ren,26.0,0.0917412753282016,2.752238259846048,0.8391671569548924,7,0.3113378432538363,0.6886621567461637,0.0491272001922301,0.1381270221927641,4,0,5.5,9.0,0.55,0.19999999999999996,0.375,0.8391671569548924,0.11252530093362151
27,3,Bobby Bones,23.0,0.1032420091329951,3.097260273989853,0.8497440806161642,6,0.3113378432538363,0.6886621567461637,0.0461555564156417,0.1688714982655266,1,0,8.0,3.0,0.30000000000000004,0.8,0.55,0.8497440806161642,0.0871017634574674
27,3,DeMarcus Ware,26.0,0.0969031896272387,2.907095688817161,0.8865303083868677,5,0.3113378432538363,0.6886621567461637,0.0388870071601883,0.1126289194270846,7,0,5.5,6.0,0.55,0.5,0.525,0.8865303083868677,0.08302661278359619
27,3,Evanna Lynch,27.0,0.1058204499117576,3.174613497352728,0.999999999999669,1,0.3113378432538363,0.6886621567461637,0.064348069866584,0.2149738076830012,3,0,3.0,2.0,0.8,0.9,0.8500000000000001,0.999999999999669,0.04529784013009626
27,3,Joe Amabile,18.0,0.1060773563215165,3.182320689645495,0.7175130216808437,10,0.3113378432538363,0.6886621567461637,0.0386955194769268,0.2330932462909927,6,0,11.0,1.0,0.0,1.0,0.5,0.7175130216808437,0.05266983522768931
27,3,John Schneider,21.0,0.1021382693758653,3.064148081275959,0.7763179987092993,8,0.3113378432538363,0.6886621567461637,0.0317935616041312,0.1721384551373883,8,0,10.0,4.0,0.09999999999999998,0.7,0.39999999999999997,0.7763179987092993,0.07080601896866835
27,3,Juan Pablo Di Pace,30.0,0.09245909782602,2.7737729347806,0.9723509708573173,2,0.3113378432538363,0.6886621567461637,0.038885849627685,0.1509475392375606,5,0,1.0,8.0,1.0,0.30000000000000004,0.65,0.9723509708573173,0.14168183368373075
27,3,Mary Lou Retton,24.0,0.0912426957061346,2.737280871184038,0.7712937226622896,9,0.3113378432538363,0.6886621567461637,0.0469351400710503,0.1342136380137526,9,0,7.0,10.0,0.4,0.09999999999999998,0.25,0.7712937226622896,0.11878714601562215
27,3,Milo Manheim,27.0,0.1000691680349055,3.002075041047165,0.9472291055832056,3,0.3113378432538363,0.6886621567461637,0.0475687435910036,0.1602312013175969,2,0,3.0,5.0,0.8,0.6,0.7,0.9472291055832056,0.08288555385551728
27,3,Nancy McKeon,22.0,0.0140812434713096,0.422437304139288,0.0,11,0.3113378432538363,0.6886621567461637,0.0468867111946287,0.1077724727693927,11,1,9.0,11.0,0.19999999999999996,0.0,0.09999999999999998,0.0,0.7108236529106965
27,3,Tinashe,27.0,0.0962252452640551,2.886757357921653,0.9119591871495408,4,0.3113378432538363,0.6886621567461637,0.047483684633843,0.1154072457149754,10,0,3.0,7.0,0.8,0.4,0.6000000000000001,0.9119591871495408,0.05524436925656972
27,4,Alexis Ren,25.0,0.098413861424644,2.9524158427393203,0.8290543022941573,7,0.3283887726964157,0.6716112273035842,0.0915591998426087,0.1805590218431427,4,0,4.0,7.0,0.6666666666666667,0.33333333333333337,0.5,0.8290543022941573,0.0680376163068091
